Particepant,Terrible,Middle,Great
Under 25
1,1,5,9
2,1,5,9
3,1,5,9
4,1,5,9
5,1,5,9
6,1,7,7
7,1,5,9
8,1,5,9
9,1,5,9
10,1,5,9
11,1,5,9
12,1,6,8
13,1,5,9
14,2,5,8
15,1,5,9
16,1,5,9
17,1,5,9
18,1,5,9
19,1,5,9
20,1,5,9
21,1,9,5
22,1,5,9
23,1,5,9
24,1,5,9
25,1,5,9
26,1,5,9
27,1,5,9
28,2,5,8
29,1,5,9
30,2,8,5
31,1,5,9
32,1,5,9
33,2,6,7
34,1,5,9
35,2,9,4
36,1,5,9
37,1,5,9
38,1,5,9
39,1,5,9
40,1,5,9
41,1,5,9
Over 25
1,1,5,9
2,1,5,9
3,1,7,7
4,1,5,9
5,1,5,9
6,1,5,9
7,1,5,9
8,1,5,9
9,1,5,9
10,1,5,9
11,1,6,8
12,1,6,8
13,1,6,8
14,1,5,9
15,1,5,9
16,1,5,9
17,1,5,9
18,2,4,9
19,1,5,9
20,1,5,9
21,1,5,9
22,1,5,9
23,1,5,9
24,1,5,9
25,1,5,9
26,1,5,9
27,1,5,9
28,1,5,9
29,1,5,9
30,1,5,9
31,1,5,9
32,1,5,9
33,1,5,9
34,1,5,9
35,1,5,9
36,1,5,9
37,1,5,9
38,1,5,9
39,1,5,9
40,1,5,9
41,1,5,9
42,1,5,9
43,1,5,9
44,1,5,9
