Candidate,saopaulover-1min-t-yaw90,saopaulover-1min-t-yaw0,saopaulover-1min-s-yaw90,saopaulover-1min-s-yaw0,saopaulover-1min-yaw90,saopaulover-1min-yaw0
1,3,1,4,3,1,3
2,5,4,2,1,1,2
3,4,3,3,0,3,2
4,3,2,3,3,2,2
5,4,2,2,3,2,2
6,2,3,3,3,2,2
7,1,1,3,4,1,5
8,2,3,1,2,3,4
9,5,1,4,3,1,1
10,2,3,2,4,2,2
11,2,1,3,3,2,4
12,3,1,3,4,2,2
13,2,1,2,4,3,3
14,4,2,2,3,3,1
15,3,3,0,2,2,5
16,4,0,3,2,3,3
17,4,1,3,2,4,1
18,2,3,4,3,1,2
19,2,2,3,2,3,3
20,3,1,3,1,3,4
21,2,3,1,4,2,3
22,3,2,4,4,0,2
23,1,4,2,5,2,1
24,4,4,1,2,2,2
25,2,2,1,4,4,2
26,2,3,1,3,2,4
27,3,4,1,3,1,3
28,3,2,4,4,2,0
29,1,4,2,2,2,4
30,2,2,3,3,1,4
31,2,2,3,4,2,2
32,3,3,3,1,1,4
33,1,4,2,3,3,2
34,4,3,2,2,1,3
35,4,1,3,2,3,2
36,2,2,2,3,2,4
37,3,2,1,4,3,2
38,3,3,3,3,1,2
39,3,3,3,3,1,2
40,2,0,2,3,4,4
41,4,2,3,3,1,2
42,3,3,4,2,2,1
43,1,2,3,5,2,2
44,5,2,1,3,3,1
45,2,3,4,1,2,3
46,2,4,3,3,2,1
47,2,4,3,0,3,3
48,3,3,3,2,3,1
49,4,3,3,1,3,1
50,4,3,2,2,4,0
51,2,3,4,1,2,3
52,1,4,1,2,2,5
53,2,1,4,3,2,3
54,1,3,0,5,2,4
55,3,1,3,2,4,2
56,3,3,1,3,3,2
57,4,2,4,3,1,1
58,3,0,3,4,4,1
59,3,4,3,1,3,1
60,2,3,1,3,3,3
61,1,2,4,2,3,3
62,2,4,2,3,3,1
63,1,5,2,3,3,1
64,2,1,3,2,5,2
65,4,4,3,1,2,1
66,4,2,1,3,4,1
67,2,4,2,1,3,3
68,3,3,1,4,2,2
69,3,1,2,3,2,4
70,1,4,1,3,2,4
71,2,3,2,3,3,2
72,2,3,2,3,1,4
73,3,2,1,2,2,5
74,2,2,1,4,2,4
75,3,0,3,5,3,1
76,4,1,3,3,2,2
77,3,2,3,2,2,3
78,3,0,4,3,2,3
79,0,3,3,5,1,3
80,3,1,1,4,2,4
81,2,2,2,3,3,3
82,1,2,2,4,5,1
83,2,3,5,2,3,0
84,2,1,1,4,4,3
85,3,5,1,2,3,1
,222,204,205,237,201,206
,2.611764705882353,2.4,2.411764705882353,2.788235294117647,2.364705882352941,2.4235294117647057
